1781,10,.tif
242	0.9323
222	0.9383
232	0.9397
190	0.9443
196	0.9215
219	0.9544
195	0.9691
188	0.9565
171	0.9217
155	0.9571
131	0.9358
139	0.9147
165	0.9207
153	0.9550
148	0.9632
119	0.9606
143	0.9778
152	0.9740
155	0.9674
150	0.9464
141	0.9910
133	0.9348
187	0.9514
208	0.9266
182	0.9482
170	0.9390
159	0.9568
182	0.9482
164	0.9520
171	0.9681
195	0.9083
306	0.9070
210	0.9152
151	0.9183
133	0.9725
134	0.9418
135	0.9336
139	0.9250
115	0.9283
119	0.9606
110	1
113	1
127	0.9442
92	0.9642
88	0.9680
110	0.9853
79	0.9818
99	0.9577
105	0.9405
97	0.9259
65	0.9199
88	0.9680
91	0.8803
112	0.9315
97	0.8967
122	0.9288
91	1
118	0.9409
115	0.9283
147	1
139	0.9613
134	0.9798
157	0.9447
230	0.9156
184	0.9057
157	0.9447
115	0.9398
104	0.9614
97	1
122	0.9562
48	1
46	0.9918
117	0.9562
82	0.9680
72	0.9800
64	0.9582
59	1
79	0.9188
93	0.9425
89	0.9651
25	1
31	1
55	0.9333
52	0.9387
78	0.9693
55	0.9928
52	0.9387
46	0.9271
60	0.9589
76	0.8658
128	0.9630
139	0.9769
49	1
47	0.9291
127	0.9554
220	0.9298
155	0.9674
115	0.9685
101	0.9336
101	0.9336
97	0.9384
100	0.9367
44	0.9487
45	0.9510
75	0.9321
80	0.9942
66	0.9129
58	0.9598
74	1
81	0.9914
68	0.9623
81	0.9705
22	1
23	1
62	0.9670
71	0.9158
60	1
70	0.9906
39	0.9996
54	0.9748
80	0.9792
81	0.8910
128	0.9912
139	0.9769
37	1
48	1
124	0.9719
217	0.9457
171	0.9542
117	0.9731
81	0.9227
100	0.9805
44	1
50	0.9194
0	0
0	0
83	0.9263
65	0.9571
61	0.9514
66	0.9718
38	0.9740
45	0.9510
92	0.9642
85	0.9350
82	0.9825
85	0.9350
83	0.9798
89	0.9651
67	0.9120
59	1
62	0.9283
80	0.9586
104	0.9315
110	0.9552
55	0.9675
50	1
83	0.9455
116	0.9770
131	0.9314
224	0.9267
183	0.9534
108	0.9260
80	0.9444
96	0.9729
48	0.9674
44	0.9299
0	0
0	0
85	1
55	0.9502
56	0.9267
46	0.9918
40	1
36	1
45	1
74	0.9545
84	0.9240
77	0.9932
65	0.9732
73	0.9779
52	1
60	0.9929
49	1
71	0.9158
102	0.9429
109	0.9638
49	0.9686
44	0.9964
100	0.9244
114	0.9899
104	0.9742
214	0.9747
179	0.9418
126	0.9322
101	0.9904
100	0.9367
80	0.9586
100	0.9367
86	0.9655
90	0.9760
91	0.9351
91	0.9222
60	0.9757
78	0.9906
76	0.9302
53	1
59	0.9362
74	0.9913
70	0.9906
63	0.9277
59	0.9764
58	1
98	0.9932
105	0.9528
61	0.8982
50	0.9620
73	0.9564
91	0.9868
129	0.9705
131	0.9207
47	1
47	1
127	0.9286
217	0.9667
157	0.9548
114	0.9899
104	0.9614
93	1
85	0.9683
66	0.9190
84	0.9916
85	0.9543
84	0.9569
66	0.9340
74	0.9545
72	0.9800
70	0.9906
72	0.9800
55	0.9502
52	0.9562
61	1
76	0.9957
58	0.9046
49	0.9875
108	0.9674
86	0.9655
51	1
81	1
61	0.9679
87	0.9911
114	0.9899
126	0.9875
43	0.9738
47	0.9659
121	0.9484
247	0.9246
175	0.9339
106	0.9619
86	0.9326
109	0.9891
101	0.9771
83	0.9798
73	0.9416
67	0.9120
33	1
27	1
77	0.9932
59	0.9764
88	0.9408
87	0.9434
62	1
100	0.9674
66	0.8842
72	1
60	0.9520
41	0.9765
44	1
36	0.9227
44	0.9042
65	0.8708
70	0.9231
83	0.9595
12	1
11	1
82	0.9825
103	0.9648
109	0.9066
229	0.9558
154	0.9868
94	0.9396
102	0.9554
81	0.9705
78	0.9547
90	0.9760
73	1
93	0.9747
33	1
23	1
75	0.9180
65	0.9732
72	0.9287
84	0.9569
68	0.9782
68	0.9256
71	0.9664
84	0.9431
59	0.9594
54	0.9748
45	0.9702
59	0.9594
52	0.9387
56	0.9674
59	0.9764
90	0.9900
12	0.9674
9	1
99	0.9449
102	0.9867
127	0.9954
219	0.9667
169	0.9568
72	0.9959
61	0.9514
68	0.9623
60	0.8984
78	0.9547
98	0.9932
84	0.9916
89	0.9790
79	0.9818
72	0.9433
76	0.9302
76	1
79	0.9818
46	0.9453
60	0.9589
30	0.9292
30	1
111	0.9639
120	0.9687
57	0.9847
61	0.9354
111	0.9639
108	0.9378
69	0.9392
68	0.9849
135	0.9598
150	0.9718
80	0.9586
98	0.9609
117	0.9854
215	0.9577
165	0.9438
96	0.9729
85	0.9350
88	1
81	0.9227
83	0.9595
93	0.9885
95	0.9956
101	0.9771
82	0.9479
93	0.9747
67	1
77	0.9089
65	0.9732
59	0.9594
49	1
25	0.9805
28	1
103	0.9648
115	0.9986
42	0.9710
66	0.8842
116	0.9770
106	0.9041
44	1
59	0.8834
102	0.9867
134	0.9684
77	0.9425
122	0.9178
121	0.9484
204	0.9591
156	0.9387
93	1
106	0.9323
81	0.9227
53	0.9567
77	0.9569
123	1
122	0.9562
45	1
31	1
62	0.9838
64	0.9982
75	0.9826
79	0.9325
53	0.9567
57	0.9269
41	0.9765
54	0.9929
